data;close;open;min;max;var;var3d;var5d;suporte5d;resistencia5d;tendencia;hammer2d;willr;classWillRSobrecompra;classWillRSobrevenda;minima14d;maxima14d;mm12d;mme12d;mm26d;mme26d;macdline;mm9macd;linhaSinal;histogram;tendenciaMacd;divergenciaValores;ClassBinVarFut
26/05/2021;26.09;25.91;25.65;26.18;0.97;-1.149865849;0.613261786;1;1;1;0;-21.25748503;0;0;23.46;26.8;25.88;25.71658228;24.71423077;25.08814702;0.628435264;0.603690457;0.580007936;0.048427327;0;1;1
25/05/2021;25.84;26.48;25.78;26.62;-2.08;-0.425696594;-1.199690402;1;1;1;0;-28.23529412;0;0;23.4;26.8;25.76416667;25.64868815;24.64461538;25.00799878;0.640689372;0.562768623;0.542238699;0.098450673;0;1;1
24/05/2021;26.39;26.28;25.99;26.52;1.70;1.743084502;0.151572565;1;1;0;0;-11.14130435;1;0;23.12;26.8;25.6425;25.61390418;24.53346154;24.94143869;0.672465497;0.514796203;0.503476889;0.168988608;0;0;0
21/05/2021;25.95;26.08;25.94;26.31;0.08;-0.770712909;-2.736030829;1;1;0;0;-21.68367347;0;0;22.88;26.8;25.40166667;25.47279585;24.40653846;24.82555378;0.647242072;0.458069923;0.445430669;0.201811403;0;0;1
20/05/2021;25.93;26.15;25.72;26.28;-0.84;-1.619745469;-1.34978789;1;1;0;0;-22.19387755;0;0;22.88;26.8;25.225;25.38603146;24.345;24.73559808;0.650433379;0.393032011;0.385248783;0.265184596;0;0;1
19/05/2021;26.15;25.85;25.8;26.35;-0.76;-1.950286807;4.435946463;0;1;1;0;-16.58163265;1;0;22.88;26.8;24.97166667;25.28712809;24.26961538;24.64004593;0.647082162;0.31844457;0.316412315;0.330669847;1;0;0
18/05/2021;26.35;26.7;26.27;26.8;-1.16;0.265654649;5.958254269;0;1;1;0;-11.47959184;1;0;22.88;26.8;24.745;25.13024229;24.18269231;24.5192496;0.610992686;0.236147305;0.245757112;0.365235574;1;0;0
17/05/2021;26.66;26.3;26.2;26.66;1.45;6.264066017;5.663915979;0;0;1;0;0;1;0;22.88;26.66;24.5175;24.90846816;24.07884615;24.37278957;0.535678589;0.157650996;0.170462108;0.365216481;1;0;0
14/05/2021;26.28;25.8;25.55;26.38;5.16;5.707762557;6.01217656;0;0;0;0;-2.857142857;1;0;22.88;26.38;24.26416667;24.59000783;23.965;24.18981274;0.400195088;0.083677148;0.101753788;0.2984413;1;1;1
13/05/2021;24.99;24.76;24.43;25.1;0.85;-0.640256102;2.440976391;0;1;1;0;-20.37735849;0;0;22.88;25.53;24.06916667;24.28273652;23.87730769;24.02259776;0.260138765;0.030693;0.044891149;0.215247616;1;0;1
12/05/2021;24.78;24.95;24.69;25.53;-1.47;0.322841001;5.165456013;0;1;1;0;-28.30188679;0;0;22.88;25.53;23.91166667;24.15414316;23.84;23.94520558;0.208937585;-0.005138058;0.009992732;0.198944853;1;0;1
11/05/2021;25.15;24.44;24.32;25.17;1.82;3.061630219;5.248508946;0;1;1;0;-0.873362445;1;0;22.88;25.17;23.82833333;24.04035101;23.81153846;23.87842202;0.161928986;-0.035297793;-0.017515038;0.179444024;1;0;0
10/05/2021;24.7;24.8;24.58;24.98;1.31;4.858299595;7.327935223;0;1;0;0;-13.33333333;1;0;22.88;24.98;23.70666667;23.83859665;23.76307692;23.77669578;0.061900862;-0.060155926;-0.051275455;0.113176317;1;1;1
07/05/2021;24.38;23.64;23.46;24.45;3.74;2.255947498;3.896636587;0;1;1;0;-24.05660377;0;0;22.77;24.89;23.62416667;23.68197786;23.74;23.70283145;-0.020853592;-0.07732006;-0.068322165;0.047468572;1;0;1
06/05/2021;23.5;23.71;23.4;23.85;-1.38;2.595744681;-0.510638298;0;1;0;0;-65.56603774;0;0;22.77;24.89;23.5775;23.55506474;23.71884615;23.64865796;-0.093593225;-0.080002071;-0.079253123;-0.014340102;0;0;1
05/05/2021;23.83;23.17;23.12;23.95;4.11;1.678556441;0.881242132;1;1;0;0;-50;0;0;22.77;24.89;23.6425;23.56507651;23.73153846;23.6605506;-0.095474092;-0.075473747;-0.074696342;-0.02077775;0;0;0
04/05/2021;22.89;23.54;22.88;23.64;-2.30;-3.189165574;-4.587155963;1;0;1;0;-94.33962264;0;1;22.77;24.89;23.56916667;23.5169086;23.71730769;23.64699465;-0.130086047;-0.070745653;-0.075720646;-0.054365402;0;1;1
03/05/2021;23.43;23.8;23.3;23.81;-0.80;-0.810926163;1.408450704;0;1;0;0;-68.86792453;0;0;22.77;24.89;23.58583333;23.63089198;23.72923077;23.70755422;-0.076662237;-0.062324283;-0.063104233;-0.013558004;1;1;0
30/04/2021;23.62;23.4;23.28;23.93;0.00;-1.354784081;-0.677392041;1;1;1;0;-59.90566038;0;0;22.77;24.89;23.6625;23.6674178;23.70576923;23.72975856;-0.06234076;-0.06119023;-0.067092219;0.004751459;1;0;0
29/04/2021;23.62;24.12;23.42;24.29;-1.34;2.201524132;-0.296359018;0;1;0;0;-59.90566038;0;0;22.77;24.89;23.69166667;23.67603922;23.67423077;23.73853924;-0.062500027;-0.068468887;-0.069224099;0.006724072;0;0;1
28/04/2021;23.94;23.4;23.36;24.09;3.64;0.66833751;0.960735171;1;1;1;0;-44.81132075;0;0;22.77;24.89;23.71416667;23.68622816;23.67038462;23.74802238;-0.061794218;-0.069183392;-0.062296492;0.000502274;0;1;0
27/04/2021;23.1;23.82;23.1;24.17;-2.86;-2.554112554;-3.116883117;1;1;1;0;-84.43396226;0;1;22.77;24.89;23.69;23.64008783;23.67269231;23.73266417;-0.092576342;-0.063093096;-0.065777239;-0.026799103;0;1;1
26/04/2021;23.78;23.85;23.61;24.05;0.38;0.294365013;-2.102607233;0;1;1;0;-52.35849057;0;0;22.77;24.89;23.74;23.73828562;23.67807692;23.78327731;-0.044991689;-0.05904033;-0.058891795;0.013900106;0;1;0
23/04/2021;23.69;23.88;23.51;23.94;-0.08;-0.548754749;3.123680878;0;1;0;0;-56.60377358;0;0;22.77;24.89;23.75833333;23.73070118;23.68961538;23.78353949;-0.052838307;-0.062851183;-0.064788627;0.01195032;1;1;1
